"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,4,7,11,29,64,135,328,659,1143,1674,1636,1375,858,436,218,86,27,23,10,7
2,3,13,40,95,163,385,758,1229,1738,1700,1204,728,343,158,76,50,19,6,5,1
2,2,4,13,29,52,84,212,405,793,1299,1648,1646,1260,669,344,133,67,43,17,8
1,3,5,10,29,64,171,372,833,1390,1742,1646,1106,673,324,168,70,48,24,15,6
2,3,11,9,47,120,263,566,1052,1652,1707,1423,881,487,243,127,60,21,14,3,1
5,4,14,46,87,176,421,805,1240,1656,1673,1145,669,360,162,88,42,13,6,3,1
2,5,11,38,92,189,389,792,1323,1753,1702,1194,649,330,134,68,34,21,13,4,2
3,1,9,15,44,110,251,517,968,1520,1804,1499,1024,508,236,121,42,25,9,3,2
1,6,18,27,61,140,355,677,1192,1756,1706,1299,759,423,190,84,42,14,4,3,2
2,1,10,21,63,136,288,588,1122,1618,1673,1317,844,471,222,119,61,26,11,5,1
2,2,12,31,66,162,334,711,1161,1659,1682,1260,743,407,228,88,62,42,11,4,0
2,1,0,1,3,8,22,41,85,162,377,742,1295,1641,1686,1164,686,369,185,90,51
2,3,14,29,52,138,303,596,1091,1563,1815,1303,828,495,231,108,65,25,11,5,2
2,10,17,59,159,299,609,1192,1543,1643,1357,843,451,244,123,59,26,20,5,1,0
1,1,4,5,23,77,194,388,798,1293,1770,1619,1117,686,342,175,94,47,33,12,9
2,2,1,8,10,19,42,104,216,440,873,1347,1689,1564,1144,636,318,171,69,44,22
3,7,11,34,81,175,414,776,1324,1789,1641,1163,671,335,160,78,40,17,5,1,3
2,1,2,7,17,44,85,220,466,837,1449,1621,1525,1111,595,298,166,81,30,14,7
1,2,0,6,8,14,25,60,109,296,641,1144,1673,1707,1267,822,414,218,119,54,19
2,8,18,47,98,241,588,1024,1528,1815,1417,905,501,256,117,56,25,15,11,8,1
3,0,0,10,19,25,47,141,312,686,1301,1780,1800,1188,718,340,163,92,43,17,13
0,13,9,30,77,163,385,872,1408,1770,1622,1052,642,315,136,59,26,14,8,7,2
1,1,4,19,34,73,149,309,613,1088,1598,1664,1342,865,465,216,109,43,17,14,4
2,1,3,8,18,51,85,239,483,1006,1543,1763,1478,945,543,259,130,47,20,16,6
4,8,27,53,134,312,640,1113,1592,1703,1311,828,448,225,112,44,34,19,8,2,0
2,1,0,6,14,17,18,43,94,224,448,990,1546,1793,1515,988,499,245,118,62,22
4,13,29,56,150,335,655,1139,1503,1690,1299,854,447,208,120,54,24,15,9,4,1
2,3,9,19,32,69,128,328,665,1166,1712,1672,1321,758,395,209,108,50,15,9,8
7,11,28,50,110,273,573,1025,1520,1784,1399,901,440,248,124,62,21,8,5,1,0
1,5,3,13,31,55,129,279,548,1054,1594,1739,1415,922,473,258,117,56,31,5,13
1,1,5,17,42,90,220,469,902,1423,1702,1504,1000,545,340,172,92,36,21,6,0
1,3,9,25,65,147,323,651,1198,1636,1678,1309,792,408,214,117,53,19,6,13,1
2,3,10,23,54,119,257,526,901,1442,1734,1496,1037,522,279,126,68,22,10,4,0
2,0,4,0,3,16,35,65,134,300,551,1181,1703,1738,1298,803,438,239,95,46,24
2,16,42,104,200,516,980,1513,1726,1481,1008,602,298,111,49,32,14,6,2,1,0
2,3,14,20,34,103,260,506,936,1518,1795,1431,974,529,263,144,50,33,21,8,8
1,3,12,30,49,126,238,454,885,1422,1750,1546,1043,578,287,177,74,27,6,7,5
2,10,13,34,101,206,405,862,1330,1701,1599,1140,620,316,151,79,33,7,4,2,2
3,10,25,38,108,184,419,959,1565,1816,1530,1018,508,264,132,57,28,11,5,1,0
1,4,6,16,19,41,108,260,562,1087,1568,1732,1444,880,476,203,115,50,22,14,3
6,11,14,76,148,307,651,1221,1725,1762,1259,761,389,203,92,42,24,10,2,4,0
1,0,1,1,4,8,51,70,192,422,798,1424,1779,1570,1130,637,307,152,97,25,13
2,2,3,9,16,49,89,220,487,966,1566,1767,1551,975,539,260,129,55,19,4,4
2,2,4,11,21,54,85,250,530,983,1536,1829,1425,909,491,277,129,62,30,22,11
2,8,34,42,115,212,470,937,1543,1735,1459,950,565,288,119,63,33,11,6,3,0
3,5,20,36,95,191,377,749,1213,1682,1637,1206,717,383,205,102,43,29,9,6,4
5,7,18,34,72,174,329,680,1239,1670,1601,1256,790,405,183,72,38,21,9,2,1
1,1,6,7,23,52,133,276,541,1041,1566,1699,1391,933,528,249,149,51,33,8,9
1,4,5,13,41,109,176,435,861,1362,1662,1562,1116,594,312,168,83,46,37,11,9
2,0,1,3,4,7,18,41,74,148,328,759,1190,1615,1712,1217,720,423,215,113,70
4,14,27,63,155,283,572,1086,1593,1739,1392,859,463,235,122,63,22,24,4,3,2
1,3,19,34,87,189,362,796,1391,1755,1608,1139,646,309,141,90,31,21,10,3,2
3,2,4,11,47,62,155,338,703,1268,1816,1663,1203,723,365,207,84,46,25,7,5
2,4,5,7,25,44,113,242,522,982,1550,1600,1425,1002,532,302,155,63,34,5,3
1,2,2,1,6,24,34,72,227,441,870,1387,1805,1555,1111,610,286,110,47,23,10
5,5,9,27,72,160,327,678,1190,1725,1709,1348,813,357,196,82,54,25,13,6,0
1,3,8,8,46,80,167,368,783,1257,1747,1676,1174,662,331,187,93,30,23,15,8
2,3,5,6,15,35,92,210,487,1016,1420,1780,1537,999,573,279,112,57,34,9,1
1,0,3,13,36,101,184,392,809,1401,1627,1536,1104,669,368,191,89,49,29,13,2
